specimenID,population,stage,sex,morph,morph_sex,tissue,cohort,seeds,food_regime,plate,row,strip,well,rna_conc_ngul,A260_280,core_sample_number,kallisto_name,seq_date,read_filename,degraded,note,girth,wingCS,wingPC1,wingPC2,wingPC3,wingPC4,txCS,txPC1,wingpadCS,wingpadPC1,wingpadPC2,wingpadPC3,wingpadPC4
FC415_n02_dt,KL15,adult,f,SW,SWf,thorax,35,15,low,4,B,3,B3,129.3,2.72,DAJHX15,DAJHX15_UMI_S85,200701,200701/DAJHX15_UMI_S85_L001_R1_001.fastq.gz,FALSE,,4.11163013,8.21150786,0.22769795,0.07412293,0.0048012,-0.0027156,4.06004566,0.06497979,NA,NA,NA,NA,NA
FC415_n02_ov,KL15,adult,f,SW,SWf,gonad,35,15,low,4,B,4,B4,0.8,9.53,DAJHX16,DAJHX16_UMI_S271,200611,200611/DAJHX16_UMI_S271_L008_R1_001.fastq.gz,TRUE,,4.11163013,8.21150786,0.22769795,0.07412293,0.0048012,-0.0027156,4.06004566,0.06497979,NA,NA,NA,NA,NA
FC415_n02_ov,KL15,adult,f,SW,SWf,gonad,35,15,low,4,B,4,B4,0.8,9.53,DAJHX16,DAJHX16_UMI_S86,200701,200701/DAJHX16_UMI_S86_L001_R1_001.fastq.gz,TRUE,,4.11163013,8.21150786,0.22769795,0.07412293,0.0048012,-0.0027156,4.06004566,0.06497979,NA,NA,NA,NA,NA
FC417_n01_dt,KL15,adult,m,LW,LWm,thorax,28,40,high,4,B,5,B5,341.3,2.14,DAJHX17,DAJHX17_UMI_S15,200701,200701/DAJHX17_UMI_S15_L001_R1_001.fastq.gz,FALSE,,NA,13.2458355,-0.1454238,0.02228252,-0.0107585,-0.0143788,4.19606678,-0.0236552,NA,NA,NA,NA,NA
FC417_n01_dt,KL15,adult,m,LW,LWm,thorax,28,40,high,4,B,5,B5,341.3,2.14,DAJHX17,DAJHX17_UMI_S200,200611,200611/DAJHX17_UMI_S200_L008_R1_001.fastq.gz,FALSE,,NA,13.2458355,-0.1454238,0.02228252,-0.0107585,-0.0143788,4.19606678,-0.0236552,NA,NA,NA,NA,NA
FC417_n01_te,KL15,adult,m,LW,LWm,gonad,28,40,high,4,B,6,B6,252.5,2.15,DAJHX18,DAJHX18_UMI_S16,200701,200701/DAJHX18_UMI_S16_L001_R1_001.fastq.gz,TRUE,,NA,13.2458355,-0.1454238,0.02228252,-0.0107585,-0.0143788,4.19606678,-0.0236552,NA,NA,NA,NA,NA
FC417_n01_te,KL15,adult,m,LW,LWm,gonad,28,40,high,4,B,6,B6,252.5,2.15,DAJHX18,DAJHX18_UMI_S201,200611,200611/DAJHX18_UMI_S201_L008_R1_001.fastq.gz,TRUE,,NA,13.2458355,-0.1454238,0.02228252,-0.0107585,-0.0143788,4.19606678,-0.0236552,NA,NA,NA,NA,NA
FC417_n05_dt,KL15,adult,m,LW,LWm,thorax,28,40,high,4,B,7,B7,664.9,2.18,DAJHX19,DAJHX19_UMI_S17,200701,200701/DAJHX19_UMI_S17_L001_R1_001.fastq.gz,FALSE,,3.81787452,11.4160968,-0.1235048,0.01607793,-0.027318,0.01446087,3.96420676,-0.0447025,NA,NA,NA,NA,NA
FC417_n05_dt,KL15,adult,m,LW,LWm,thorax,28,40,high,4,B,7,B7,664.9,2.18,DAJHX19,DAJHX19_UMI_S202,200611,200611/DAJHX19_UMI_S202_L008_R1_001.fastq.gz,FALSE,,3.81787452,11.4160968,-0.1235048,0.01607793,-0.027318,0.01446087,3.96420676,-0.0447025,NA,NA,NA,NA,NA
FC399_n06_ov,KL15,adult,f,SW,SWf,gonad,14,14,low,4,A,2,A2,1164.6,2.17,DAJHX2,DAJHX2_UMI_S187,200611,200611/DAJHX2_UMI_S187_L008_R1_001.fastq.gz,TRUE,,4.91338039,10.0696973,0.11694927,-0.0334119,-0.0303982,0.03733295,4.40660406,0.02348918,NA,NA,NA,NA,NA
